key,id,lat,lon,tolerance_m
4.35985422:6.804149937:9.327565083:Jaroslavskoe,30,55.85211754,37.68097128,25
0.993029213:9.3667252:12.41484913:Strogino,31,55.80013425,37.40054211,25
2.019346687:10.15991906:12.94756193:Hovrino,32,55.86767152,37.48472044,5
0.227407096:11.81039185:13.97217056:Bibirevo,33,55.8991411,37.61978463,5
6.647772254:6.841602305:10.11538437:Moskvorech'e-Saburovo,34,55.64248048,37.67280261,5
19.01027534:32.49111043:35.17212098:Staroe Krjukovo,35,55.98406694,37.1843828,50
3.485169121:8.790232158:11.9757482:Mar'ino,36,55.64713489,37.75616605,5
4.944343346:4.779711674:8.602005341:Ljublino,37,55.6865194,37.75097912,5
4.861965738:9.255331499:12.45658774:Caricyno,38,55.62034153,37.66670687,5
1.614760669:6.336460041:10.2169895:Veshnjaki,39,55.72223324,37.81314491,10
0.881972631:7.388529012:10.80410545:Veshnjaki,40,55.73952606,37.82698007,10
10.94509621:1.339324201:1.762456794:Danilovskoe,41,55.7216744,37.66073605,5
5.73186055:7.65131622:10.9521909:Caricyno,42,55.63618849,37.68220703,25
6.137016113:4.495931387:6.607187369:Preobrazhenskoe,43,55.80121382,37.73814775,5
4.044370827:7.851488885:10.81162422:Kon'kovo,44,55.64444812,37.53013368,5
2.731457231:9.5254802:12.71229799:Brateevo,45,55.64213028,37.76409627,10
1.360069848:13.09816257:15.91946354:Mitino,46,55.83912486,37.37232387,5
1.999514331:7.684952227:9.975400407:Vostochnoe Izmajlovo,47,55.7884339,37.80933738,10
4.226322609:14.1742066:16.8947948:Novo-Peredelkino,48,55.64987222,37.36819617,5
1.395830959:9.469056034:11.98832071:Jaroslavskoe,49,55.87032563,37.71592334,5
2.493022009:9.608680023:12.33468319:Zapadnoe Degunino,50,55.86995776,37.51061172,5
4.861965738:9.255331499:12.45658774:Caricyno,51,55.62034153,37.66670687,5
1.209854944:9.869378058:14.05045061:Vyhino-Zhulebino,52,55.68334197,37.85173541,10
6.245811543:1.623808934:5.775971604:Tekstil'shhiki,53,55.72004591,37.7373504,5
12.52081913:0.28969342:2.95738352:Donskoe,54,55.70311038,37.62296225,5
5.617279391:6.295595356:9.65232686:Ljublino,55,55.66893837,37.74473182,10
2.670126368:6.166081946:8.924215686:Novogireevo,56,55.75058078,37.79924209,5
5.322075093:5.265708963:7.238252021:Bogorodskoe,57,55.81508567,37.73037994,10
6.490739204:19.77474815:22.9168903:Juzhnoe Butovo,58,55.53215179,37.51202146,10
6.84027671:4.539030639:7.181430856:Sokol,59,55.80352061,37.49751806,5
3.249057144:10.36634769:13.56769477:Chertanovo Central'noe,60,55.60875537,37.58955334,5
1.511280575:14.80862044:17.53483477:Kurkino,61,55.88544237,37.40701552,25
3.483136727:6.767648758:8.997126957:Izmajlovo,62,55.80077969,37.78403416,25
7.16511149:3.394949931:5.471251969:Preobrazhenskoe,63,55.79881256,37.71845376,10
1.190864628:7.406998059:10.41450488:Novogireevo,64,55.74827079,37.82260897,10
11.18034947:0.864359815:4.064536303:Donskoe,65,55.69318999,37.6090476,5
1.517672092:9.8444138:12.22628939:Severnoe Medvedkovo,66,55.88213778,37.65475912,25
0.541867443:9.842632224:12.87928616:Strogino,67,55.80220591,37.39402502,5
12.52081913:0.28969342:2.95738352:Donskoe,68,55.70311038,37.62296225,5
6.591201642:4.755625461:7.23839918:Rostokino,69,55.8363255,37.65685928,5
2.048425373:10.85453935:14.19801775:Orehovo-Borisovo Severnoe,70,55.61483778,37.72926665,10
1.109297949:10.99671856:13.16790803:Bibirevo,71,55.89186168,37.61421682,5
1.484968123:8.330122688:11.04994483:Ochakovo-Matveevskoe,72,55.67958945,37.44485958,25
10.52640568:1.500122619:1.162955149:Taganskoe,73,55.74605585,37.67395107,5
2.507718064:10.33065369:12.87384534:Dmitrovskoe,74,55.8823339,37.53958692,5
11.15187678:0.290564578:2.643779248:Donskoe,75,55.70975063,37.58910361,5
1.907970804:6.031972725:10.03879301:Vyhino-Zhulebino,76,55.71736981,37.8076083,25
0.580488661:12.22466885:15.56072487:Orehovo-Borisovo Juzhnoe,77,55.60617837,37.74757203,5
2.612629862:5.265610991:9.418666677:Kuz'minki,78,55.70769653,37.79104197,10
0.138288286:11.27814743:14.08425798:Teplyj Stan,79,55.62850794,37.47436803,5
2.332038123:7.677936613:9.945601179:Izmajlovo,80,55.79774329,37.80289312,5
2.597116955:8.180595511:10.36215818:Gol'janovo,81,55.81611977,37.79285673,5
4.998718049:18.44693182:21.62290382:Juzhnoe Butovo,82,55.54005382,37.54086956,50
1.478967241:10.59955439:13.37764503:Hovrino,83,55.8753935,37.49487979,25
8.624304877:1.018011563:3.272048587:Basmannoe,84,55.77493118,37.70484718,10
3.993575547:17.62771398:20.82082687:Juzhnoe Butovo,85,55.54559847,37.55743032,25
2.242605968:9.101153768:11.53693075:Babushkinskoe,86,55.87537608,37.65894056,10
6.625024867:3.864176927:5.97998906:Bogorodskoe,87,55.81235986,37.70477736,25
18.47572233:31.9604236:34.63758751:Staroe Krjukovo,88,55.98076151,37.19054585,50
4.435156738:6.832901057:9.587644755:Pokrovskoe Streshnevo,89,55.81197624,37.46125989,5
2.991220642:8.679537492:11.63294171:Kon'kovo,90,55.64126908,37.51384484,25
3.052257104:7.991470147:10.69999973:Obruchevskoe,91,55.6564948,37.49720859,10
7.283013965:2.625359321:5.730555252:Filevskij Park,92,55.74291558,37.49148398,10
3.575587947:7.220474567:9.823744193:Troparevo-Nikulino,93,55.66700387,37.49486083,5
1.16140312:14.92897464:18.12965071:Severnoe Butovo,94,55.56820755,37.57832771,5
5.14056776:7.368087084:9.563961025:Otradnoe,95,55.85831247,37.59012824,10
11.34263585:1.253135814:1.21401736:Hamovniki,96,55.7267684,37.58166327,25
2.088761908:10.82737119:13.4167225:Juzhnoe Tushino,97,55.84421452,37.42785257,5
5.331116306:7.698600141:11.03826198:Moskvorech'e-Saburovo,98,55.63820665,37.69753638,5
2.16168796:12.37418025:15.08272103:Solncevo,99,55.64982823,37.40512482,25
2.577019724:10.91991549:14.23491215:Orehovo-Borisovo Severnoe,100,55.60825766,37.699642,5
6.668938434:1.410310599:5.535848332:Tekstil'shhiki,101,55.71425343,37.7274702,10
11.2822083:1.869073636:1.19486685:Dorogomilovo,102,55.74671849,37.56311632,10
1.037709274:11.50081216:13.68070995:Bibirevo,103,55.89603396,37.60020924,10
1.324455626:10.01932388:12.45118356:Severnoe Medvedkovo,104,55.88358926,37.66015769,10
7.084068912:5.74193563:8.133662893:Timirjazevskoe,105,55.84334725,37.5734035,5
7.060329272:3.555403995:5.499525868:Bogorodskoe,106,55.80418716,37.71050114,10
1.980020185:11.19477795:13.47438403:Lianozovo,107,55.89228661,37.56942601,10
1.907637818:10.27603644:12.98210537:Zapadnoe Degunino,108,55.87640566,37.51046615,10
5.82634457:4.019507172:6.277596104:Izmajlovo,109,55.78609258,37.7483766,10
2.838208625:9.235687346:12.01437319:Hovrino,110,55.86527178,37.50700153,25
6.306531971:3.555939256:7.140920529:Pechatniki,111,55.691949,37.72851871,25
6.689999667:3.900747391:5.872578666:Bogorodskoe,112,55.80577404,37.71613066,10
20.47197331:33.97902941:36.60837017:Krjukovo,113,55.98077355,37.14816178,10
8.062816388:1.298218548:3.518959251:Lefortovo,114,55.7576188,37.71374113,5
3.143018246:7.571911948:9.683505102:Gol'janovo,115,55.81750899,37.77749153,10
0.90453453:11.86913408:14.45309014:Dmitrovskoe,116,55.89463207,37.52664621,25
0.803223527:12.25493804:15.24704899:Jasenevo,117,55.60439752,37.51521725,5
4.684064986:14.79303403:17.51004872:Novo-Peredelkino,118,55.64030615,37.36867704,25
5.381477088:8.207338537:11.40893169:Chertanovo Severnoe,119,55.62774832,37.5971541,10
5.315251998:2.554907582:6.707236153:Rjazanskij,120,55.71703055,37.75120225,5
1.491623305:6.406119073:10.46298904:Vyhino-Zhulebino,121,55.71263364,37.81228252,10
1.838923663:11.32836063:13.61451508:Lianozovo,122,55.89350516,37.56881372,10
19.71444525:33.20766581:35.87411348:Silino,123,56.00221295,37.19969208,25
1.873086576:7.950914368:10.67005456:Ochakovo-Matveevskoe,124,55.68067207,37.4508414,25
10.51626944:0.734352606:1.800419976:Hamovniki,125,55.7256333,37.56834471,5
6.826446253:3.634556696:5.805956216:Bogorodskoe,126,55.81219639,37.70049835,5
11.35354455:0.88490094:4.064214256:Donskoe,127,55.69307741,37.61249652,5
3.444948867:9.438595879:12.78261244:Orehovo-Borisovo Severnoe,128,55.62606751,37.71861522,5
0.675466112:8.041182522:10.90965859:Ivanovskoe,129,55.75162569,37.83104731,5
8.450133261:0.992089396:3.17319184:Lefortovo,130,55.76262265,37.70799504,10
4.455540972:7.603697065:10.38044252:Golovinskoe,131,55.85276481,37.52050168,25
0.461210898:9.002474198:11.28903584:Ivanovskoe,132,55.77761039,37.83492406,5
3.71183122:8.064642627:10.21292549:Otradnoe,133,55.86537063,37.62544279,5
5.457272478:5.838971171:8.775754453:Obruchevskoe,134,55.66413379,37.53410341,5
4.594302748:7.628858357:10.60266373:Kon'kovo,135,55.64322454,37.54199771,5
7.89124546:1.547467472:3.727390614:Lefortovo,136,55.76260802,37.71687243,5
0.956967582:9.215672749:12.65103989:Novokosino,137,55.739364,37.85669614,10
6.621881928:3.936991617:5.94898227:Bogorodskoe,138,55.80699849,37.71511345,25
9.301388595:0.299348671:2.428520241:Taganskoe,139,55.73866065,37.69259686,25
11.34648398:2.393148191:5.374059099:Nagatino-Sadovniki,140,55.68226707,37.64075778,5
2.365687467:10.27950502:12.87005447:Dmitrovskoe,141,55.88071595,37.53231894,25
3.23650881:9.56414129:12.90620747:Orehovo-Borisovo Severnoe,142,55.62606824,37.72337184,5
0.964325216:10.41829331:12.77887629:Severnoe Medvedkovo,143,55.88730573,37.65354987,10
2.555380266:7.542870576:9.800239375:Izmajlovo,144,55.79934003,37.79914811,5
2.175566056:12.41427938:15.58400931:Birjulevo Vostochnoe,145,55.59182373,37.66555776,5
1.286035648:9.186301039:11.41821466:Severnoe Izmajlovo,146,55.81057667,37.81832206,25
6.742514533:2.666592683:4.91965217:Sokolinaja Gora,147,55.76649999,37.73527525,5
11.1447365:3.05671516:5.945019464:Nagatino-Sadovniki,148,55.67665487,37.63444737,5
9.164248029:2.427612581:5.703928812:Nagatinskij Zaton,149,55.68712407,37.68366783,5
3.027004846:10.02175797:12.46764337:Vostochnoe Degunino,150,55.88163543,37.56082791,25
4.361895839:5.792151905:9.622282848:Ljublino,151,55.67983937,37.7621707,10
6.13904112:15.99541084:18.71661991:Novo-Peredelkino,152,55.64445539,37.33941638,10
4.090827961:9.666001321:12.86618671:Chertanovo Central'noe,153,55.61434304,37.60048037,10
4.681360699:6.270347307:8.963561008:Prospekt Vernadskogo,154,55.66895049,37.51356116,5
17.34398276:30.7203696:33.45178886:Savelki,155,55.98976024,37.23309413,25
2.491080026:10.16435514:12.75050324:Dmitrovskoe,156,55.87971527,37.53285784,25
9.972442769:2.021997345:4.736441701:Ajeroport,157,55.80211934,37.5477267,5
5.312333165:7.390032675:10.11065616:Vojkovskoe,158,55.83702154,37.48858391,10
4.506409872:4.870810941:7.582003236:Ochakovo-Matveevskoe,159,55.70903466,37.47702982,25
2.479115227:12.53227255:15.24988055:Solncevo,160,55.65403087,37.39526874,10
4.377001264:7.600639317:10.93267727:Mar'ino,161,55.65885514,37.75527779,10
5.8734973:7.108040374:9.522686254:Beskudnikovskoe,162,55.85509615,37.56486042,25
3.920782937:17.27646997:20.44079484:Juzhnoe Butovo,163,55.55283914,37.52909671,50
0.325521963:13.92430187:17.12101007:Severnoe Butovo,164,55.57791864,37.57176109,25
18.53267426:31.92727864:34.65348041:Savelki,165,55.9955061,37.21582444,10
4.545806467:8.168840665:11.51060844:Moskvorech'e-Saburovo,166,55.63748779,37.71431182,5
5.197758604:7.902238411:10.2668428:Vostochnoe Degunino,167,55.86270881,37.57046445,10
4.46946491:17.86919038:21.03955598:Juzhnoe Butovo,168,55.54591215,37.53842885,50
2.065640167:7.859823299:10.57510465:Ochakovo-Matveevskoe,169,55.67828265,37.45586039,5
8.810893347:3.133287938:6.409160151:Nagatinskij Zaton,170,55.68191076,37.69007127,5
3.001259643:7.285522524:10.47715817:Krylatskoe,171,55.7632604,37.41712336,25
6.896591342:3.855867095:7.142393831:Pechatniki,172,55.68654265,37.71976705,25
9.699936812:0.482995956:3.591557463:Juzhnoportovoe,173,55.70774183,37.67703291,5
5.525529364:5.049751771:7.040166173:Bogorodskoe,174,55.81340018,37.72879166,10
4.356453003:4.359265303:8.42844882:Kuz'minki,175,55.6950587,37.75969613,5
2.285805786:12.20718158:15.39305132:Birjulevo Vostochnoe,176,55.59388948,37.66989633,5
11.89555648:1.13956408:1.888587862:Danilovskoe,177,55.71434734,37.64281287,5
1.956417519:10.11680817:12.89430184:Hovrino,178,55.8722617,37.50066329,25
4.386131526:17.53078965:20.28780607:Kurkino,179,55.90966405,37.38949918,5
3.938776415:5.116929204:7.642858546:Perovo,180,55.75689714,37.77936133,5
5.163269848:6.826082226:10.13483377:Mar'ino,181,55.66440707,37.74727302,10
8.896458545:2.403992676:5.365331494:Akademicheskoe,182,55.68694071,37.57284565,5
3.148584678:9.574620642:12.91320845:Orehovo-Borisovo Severnoe,183,55.62693306,37.72693756,5
2.120818995:10.1864679:13.4220698:Brateevo,184,55.63390624,37.76294074,5
4.845206115:5.514858652:8.563169052:Horoshevo-Mnevniki,185,55.78723122,37.45747249,10
3.088082349:8.85405177:11.02246312:Otradnoe,186,55.872628,37.61629151,5
3.786008651:4.126570009:8.30286422:Kuz'minki,187,55.70916532,37.77249132,5
7.872638667:3.687026314:6.835048014:Nagatinskij Zaton,188,55.68298693,37.70491996,5
0.893269964:8.363117127:10.74634344:Ivanovskoe,189,55.76617623,37.82841764,5
2.668666721:7.102665284:9.822631111:Ochakovo-Matveevskoe,190,55.68596623,37.46050734,5
5.750205542:5.682354482:8.359374336:Shhukino,191,55.80928906,37.48171153,5
3.278680043:7.490676259:9.638348493:Gol'janovo,192,55.81301099,37.78296686,5
2.459464078:9.668510676:12.45407659:Hovrino,193,55.86537668,37.49284259,5
1.045353307:8.894872837:11.17317941:Vostochnoe Izmajlovo,194,55.7987302,37.8232958,10
2.665063751:15.09345945:17.88064735:Mitino,195,55.85201241,37.34971213,5
8.67020811:2.762085552:5.962375353:Nagatinskij Zaton,196,55.68718569,37.69153076,5
9.920658265:0.256660241:2.349582062:Basmannoe,197,55.77836982,37.68392189,5
2.743982245:10.58072041:13.19956318:Juzhnoe Tushino,198,55.84732971,37.43718371,5
0.934807656:10.95316198:14.39826312:Kapotnja,199,55.63589681,37.79242941,25
5.645654253:4.097432241:7.150305756:Fili Davydkovo,200,55.73180118,37.4714983,5
9.619854401:0.938712295:3.811299756:Horoshevskoe,201,55.77672049,37.53155819,5
3.532298714:17.05410928:20.24097738:Juzhnoe Butovo,202,55.55125676,37.55261754,5
8.598776939:3.413481747:5.597383042:Marfino,203,55.82342618,37.60232824,5
10.0745818:0.38532348:2.758566003:Juzhnoportovoe,204,55.71571845,37.67262959,5
1.334792869:8.401850737:10.68984733:Vostochnoe Izmajlovo,205,55.79170358,37.81951802,25
8.999090025:0.448483043:2.63199924:Lefortovo,206,55.76315675,37.69931665,10
2.346353455:7.833375401:11.05889608:Krylatskoe,207,55.75306596,37.40647214,5
2.453067527:11.52688101:14.71545274:Chertanovo Juzhnoe,208,55.59758414,37.60790163,5
19.39292862:32.85363494:35.55021625:Silino,209,55.9905347,37.18741116,50
3.679147303:10.30391882:13.49054198:Chertanovo Juzhnoe,210,55.60854829,37.60966566,5
4.854571375:6.179881526:8.954613129:Obruchevskoe,211,55.66704104,37.51916257,5
1.523853599:10.93037065:13.59018548:Juzhnoe Tushino,212,55.841057,37.41984995,5
10.65316633:1.515453717:4.153695584:Savelovskoe,213,55.80535937,37.57229444,10
0.653407287:12.51865472:15.62511244:Jasenevo,214,55.59664426,37.53449289,5
1.792879331:11.35346753:13.94649561:Juzhnoe Tushino,215,55.84716002,37.42124512,5
3.425487899:10.54946828:13.73790054:Chertanovo Juzhnoe,216,55.60634801,37.60821367,5
4.602296443:6.554452518:9.398637043:Obruchevskoe,217,55.66221918,37.51998698,10
3.674579511:5.753231165:8.615803781:Fili Davydkovo,218,55.71459439,37.45540901,5
2.507245604:7.94160582:10.16191216:Severnoe Izmajlovo,219,55.80689002,37.79931489,25
7.206392011:2.595847686:5.669991626:Filevskij Park,220,55.73903627,37.49303533,5
10.78843964:0.226515222:2.994817251:Danilovskoe,221,55.70729161,37.65916148,5
1.203629756:10.15047869:12.54350756:Severnoe Medvedkovo,222,55.88485775,37.65643847,25
2.263598086:15.65212976:18.36332398:Kurkino,223,55.8894603,37.39528857,10
2.128475986:12.27100752:15.33236751:Birjulevo Zapadnoe,224,55.5925831,37.64322049,10
12.34416775:0.257890246:2.546044473:Danilovskoe,225,55.70665824,37.61555892,10
1.638377303:11.83050969:14.46492715:Severnoe Tushino,226,55.85582045,37.42362403,5
9.245400401:0.251373285:2.487812666:Taganskoe,227,55.73825974,37.6934437,25
5.893579327:14.32202832:18.44942069:Nekrasovka,228,55.6827171,37.92797188,5
7.769467949:21.68847026:24.89006974:Juzhnoe Butovo,229,55.50703256,37.57955026,25
1.551752234:8.315299681:12.41085642:Ljublino,230,55.67352738,37.81014859,5
9.218359651:3.17458394:6.510774615:Nagatinskij Zaton,231,55.67864461,37.68266531,5
3.904634143:9.691673752:12.89307003:Chertanovo Central'noe,232,55.61472377,37.59131142,5
1.287039:9.587288151:13.76079856:Vyhino-Zhulebino,233,55.68843695,37.85096424,10
2.593890573:10.87255653:14.1899293:Orehovo-Borisovo Severnoe,234,55.6088542,37.70045117,10
10.61789503:0.411545075:2.711796341:Presnenskoe,235,55.75615273,37.54011377,25
9.870823961:0.835163029:1.831011299:Taganskoe,236,55.74333844,37.68419986,5
4.143705412:4.698841606:7.488189406:Perovo,237,55.74746914,37.77561058,5
5.145718183:7.454185492:10.7911857:Mar'ino,238,55.64420619,37.71283903,5
2.166055255:11.00476648:14.05360452:Jasenevo,239,55.61242525,37.53162123,10
6.996089098:5.391873891:8.138055655:Vojkovskoe,240,55.82604449,37.51385747,10
20.45649842:33.9593469:36.60665884:Krjukovo,241,55.98122631,37.14913709,10
0.67448876:7.277183114:11.14288712:Veshnjaki,242,55.72188136,37.82809547,10
0.606262087:13.30218912:16.58990925:Birjulevo Vostochnoe,243,55.58611859,37.69729886,5
6.13904112:15.99541084:18.71661991:Novo-Peredelkino,244,55.64445539,37.33941638,10
1.183519566:8.268386153:10.55040815:Ivanovskoe,245,55.77505938,37.82365968,5
2.573755707:7.606303308:10.82027011:Krylatskoe,246,55.75120029,37.41009368,5
3.559375347:9.653078014:12.98607592:Orehovo-Borisovo Severnoe,247,55.62086957,37.70357546,5
2.983664068:4.961929422:8.924945385:Rjazanskij,248,55.72157125,37.79131836,10
7.977738919:1.053766863:3.6381425:Lefortovo,249,55.75160851,37.7148297,5
1.653752016:11.38248337:13.88806879:Dmitrovskoe,250,55.89282294,37.54672108,10
3.114978819:11.0831538:14.96900889:Kosino-Uhtomskoe,251,55.71751685,37.88839571,10
6.277898098:5.343057911:8.303140749:Cheremushki,252,55.66396743,37.54980325,5
4.656692716:6.687075965:9.123364206:Sviblovo,253,55.85385331,37.65431311,10
3.782283878:6.549124017:9.225934113:Prospekt Vernadskogo,254,55.67808398,37.48571877,5
4.510143616:4.849828919:7.575623892:Ochakovo-Matveevskoe,255,55.70935913,37.47685712,25
2.621609176:5.484204425:9.664009039:Kuz'minki,256,55.69946593,37.78806016,5
6.952704068:5.329994417:8.096959026:Koptevo,257,55.82756179,37.51807519,5
6.306531971:3.555939256:7.140920529:Pechatniki,258,55.691949,37.72851871,25
2.656078743:8.086287034:10.27084431:Gol'janovo,259,55.81572786,37.7913284,25
0.783100727:11.1298931:14.56126606:Kapotnja,260,55.63430542,37.79315515,25
8.607222684:2.317171593:4.812927808:Alekseevskoe,261,55.81440982,37.654196,5
3.604204248:4.377990285:8.559260992:Kuz'minki,262,55.70562967,37.77398535,10
8.551864755:3.651815983:6.345561471:Ajeroport,263,55.81153492,37.52784962,5
5.037316548:9.267268517:12.42332796:Caricyno,264,55.61999664,37.66050052,5
3.718609578:17.08583527:19.80571076:Kurkino,265,55.8998949,37.38143415,5
1.961997528:9.445883932:11.9436683:Babushkinskoe,266,55.87735591,37.67477382,5
3.12750069:4.750115355:8.904863208:Rjazanskij,267,55.70990025,37.78376866,5
1.707446936:15.26283807:18.45496701:Severnoe Butovo,268,55.56656866,37.56289776,10
1.029498876:14.71136294:17.91023852:Severnoe Butovo,269,55.57047696,37.57441511,25
2.730219279:10.83734483:14.03758041:Chertanovo Juzhnoe,270,55.604614,37.58572594,5
12.33462641:1.734668691:0.427216156:Krasnosel'skoe,271,55.77514802,37.64238163,5
4.409574825:12.39354301:16.18010187:Kosino-Uhtomskoe,272,55.72019272,37.90909107,25
3.929314012:8.405523336:11.67091791:Mar'ino,273,55.64373228,37.73961364,5
1.333802548:11.56622291:14.90912592:Orehovo-Borisovo Juzhnoe,274,55.60950607,37.73570672,10
9.873160427:2.625978231:5.824817398:Kotlovka,275,55.67775377,37.6020893,5
0.583727867:10.28005745:13.20008972:Strogino,276,55.81778471,37.40072216,5
4.401698584:8.027887211:11.01618398:Kon'kovo,277,55.63881189,37.54348748,5
0.991251179:11.05989054:13.81629832:Zapadnoe Degunino,278,55.88056101,37.49610927,25
2.694480106:16.10012131:18.80802699:Kurkino,279,55.89200021,37.38974067,10
1.003189694:14.55006498:17.74277267:Severnoe Butovo,280,55.5727992,37.56553481,10
6.072176325:4.362927822:6.573342614:Bogorodskoe,281,55.81801178,37.70702216,5
1.215595736:8.108665045:10.44249368:Ivanovskoe,282,55.76830136,37.82335647,5
6.756490248:4.544312986:7.763051403:Pechatniki,283,55.68066804,37.72316218,25
6.217544168:4.1591062:7.646310022:Pechatniki,284,55.68644983,37.7306194,10
12.68509071:1.326564845:1.483413375:Danilovskoe,285,55.7163554,37.61073632,10
2.635268922:7.540542108:11.56193748:Ljublino,286,55.67336035,37.79266182,5
10.47249677:0.316162702:2.991942356:Horoshevskoe,287,55.77632415,37.54568173,5
10.07550672:3.716122269:6.856826179:Nagornoe,288,55.6680106,37.62001391,10
9.832600237:3.764371325:6.945553886:Nagornoe,289,55.6671973,37.61366864,5
5.037078161:5.329683082:8.37075467:Horoshevo-Mnevniki,290,55.78620564,37.45999017,5
4.026433764:8.297686823:11.55727512:Mar'ino,291,55.64513536,37.73996096,5
9.510380446:4.03533752:7.226318912:Nagornoe,292,55.66474219,37.61062657,5
2.761290419:10.7295861:14.61948956:Kosino-Uhtomskoe,293,55.7176234,37.88277407,10
8.38975391:2.133510847:5.042661208:Horoshevskoe,294,55.78107796,37.51351625,5
1.320749737:7.260888954:10.28943202:Novogireevo,295,55.74788456,37.82048364,10
5.116548232:6.79359311:8.970573194:Otradnoe,296,55.85413778,37.61331557,5
9.53279937:3.009942241:6.353756022:Nagatinskij Zaton,297,55.67817859,37.67465359,10
1.868086833:8.150944596:11.29271649:Kuncevo,298,55.74049075,37.40303425,10
9.249934459:2.786608389:5.468572117:Ajeroport,299,55.80574866,37.53725244,5
7.770517958:4.985147618:8.146894914:Zjuzino,300,55.65845448,37.58462258,10
4.045627907:3.82660595:7.942672732:Kuz'minki,301,55.71537639,37.77138636,5
5.174956779:3.046358606:7.179114182:Kuz'minki,302,55.70545448,37.74847178,5
5.8734973:7.108040374:9.522686254:Beskudnikovskoe,303,55.85509615,37.56486042,25
6.679156624:5.553574602:8.330651254:Koptevo,304,55.83031846,37.5182911,5
6.760912798:3.856171981:5.955230799:Preobrazhenskoe,305,55.7983175,37.72914392,5
9.300068667:4.335718769:7.518711079:Nagornoe,306,55.66206307,37.61325113,5
19.36545263:32.84472942:35.4805347:Krjukovo,307,55.96837029,37.15334255,10
3.516933909:6.320470186:8.59739461:Izmajlovo,308,55.79093437,37.78469807,10
8.402907612:3.600889546:5.784088021:Ostankinskoe,309,55.82513513,37.60308446,5
1.727488904:8.194483657:11.27534499:Kuncevo,310,55.73354511,37.40436705,10
0.578949923:10.82118029:13.16959353:Severnoe Medvedkovo,311,55.89092447,37.65225804,10
12.95697813:1.17383988:1.50447723:Danilovskoe,312,55.71622334,37.62625847,5
3.946756976:9.751484334:12.9528265:Chertanovo Central'noe,313,55.61374303,37.59710643,5
13.91781463:4.081282595:2.185333005:Tverskoe,314,55.75396685,37.62036529,5
1.490235936:8.869030614:11.11038188:Severnoe Izmajlovo,315,55.80741916,37.81544332,10
3.334709078:4.535082167:8.660399562:Rjazanskij,316,55.71289128,37.78187324,5
7.559597225:3.997817327:6.58047153:Sokol,317,55.80313649,37.50904455,5
2.422140937:7.119912552:9.83849113:Ochakovo-Matveevskoe,318,55.69268889,37.45219693,10
4.025262432:6.592516861:9.524248746:Shhukino,319,55.80042609,37.45087733,5
8.396079812:2.927481564:5.508249149:Horoshevskoe,320,55.79541826,37.52015137,10
4.503462384:6.059765603:8.229485666:Severnoe Izmajlovo,321,55.8029462,37.76766462,25
2.161317601:11.1618143:14.4925601:Orehovo-Borisovo Juzhnoe,322,55.60772023,37.70945056,5
